"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"132" 11 "damageResource" 223 245 238 223 246 262 229 235 219 248 236.8 219 262
"133" 12 "damageResource" 166 190 181 171 194 209 189 185 176 205 186.6 166 209
"134" 13 "damageResource" 126 145 139 131 154 160 146 137 136 177 145.1 126 177
"135" 14 "damageResource" 101 117 111 99 118 121 127 95 109 137 113.5 95 137
"136" 15 "damageResource" 79 94 90 78 92 95 98 74 87 115 90.2 74 115
"137" 16 "damageResource" 67 69 76 63 74 78 88 59 66 92 73.2 59 92
"138" 17 "damageResource" 42 57 64 47 63 65 69 42 47 70 56.6 42 70
"139" 18 "damageResource" 30 46 46 30 49 54 53 37 39 55 43.9 30 55
"140" 19 "damageResource" 26 36 36 22 39 47 41 28 31 45 35.1 22 47
"141" 20 "damageResource" 21 30 31 15 34 32 33 24 28 34 28.2 15 34
"142" 21 "damageResource" 15 22 25 14 29 24 25 21 27 25 22.7 14 29
"143" 22 "damageResource" 12 16 22 7 17 20 18 11 22 18 16.3 7 22
"144" 23 "damageResource" 8 12 14 5 12 12 13 9 16 12 11.3 5 16
"145" 24 "damageResource" 5 9 13 5 10 10 10 7 13 10 9.2 5 13
"146" 25 "damageResource" 5 9 8 2 9 7 5 4 9 7 6.5 2 9
"147" 26 "damageResource" 4 9 7 2 8 6 3 3 8 6 5.6 2 9
"148" 27 "damageResource" 3 7 6 1 8 6 3 2 6 3 4.5 1 8
"149" 28 "damageResource" 2 6 5 1 8 5 3 1 5 2 3.8 1 8
"150" 29 "damageResource" 1 4 4 1 7 5 2 1 3 1 2.9 1 7
"151" 30 "damageResource" 1 4 4 1 5 5 2 1 3 1 2.7 1 5
"152" 31 "damageResource" 0 2 4 1 5 4 0 1 2 0 1.9 0 5
"153" 32 "damageResource" 0 2 4 1 5 2 0 1 2 0 1.7 0 5
"154" 33 "damageResource" 0 2 1 1 4 2 0 0 0 0 1 0 4
"155" 34 "damageResource" 0 2 1 0 4 2 0 0 0 0 0.9 0 4
"156" 35 "damageResource" 0 2 0 0 3 0 0 0 0 0 0.5 0 3
"157" 36 "damageResource" 0 2 0 0 2 0 0 0 0 0 0.4 0 2
"158" 37 "damageResource" 0 0 0 0 2 0 0 0 0 0 0.2 0 2
"159" 38 "damageResource" 0 0 0 0 2 0 0 0 0 0 0.2 0 2
"160" 39 "damageResource" 0 0 0 0 1 0 0 0 0 0 0.1 0 1
"161" 0 "null" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"162" 1 "null" 4904 4905 4910 4896 4884 4894 4890 4905 4907 4899 4899.4 4884 4910
"163" 2 "null" 4795 4803 4794 4790 4791 4762 4765 4803 4787 4800 4789 4762 4803
"164" 3 "null" 4674 4678 4678 4651 4679 4650 4636 4678 4652 4677 4665.3 4636 4679
"165" 4 "null" 4546 4512 4563 4511 4563 4523 4521 4551 4491 4547 4532.8 4491 4563
"166" 5 "null" 4414 4368 4427 4377 4436 4376 4374 4412 4343 4411 4393.8 4343 4436
"167" 6 "null" 4272 4216 4265 4218 4301 4208 4209 4266 4197 4259 4241.1 4197 4301
"168" 7 "null" 4076 4039 4082 4072 4102 4061 4048 4120 4015 4118 4073.3 4015 4120
"169" 8 "null" 3895 3860 3884 3893 3883 3864 3852 3939 3833 3910 3881.3 3833 3939
"170" 9 "null" 3681 3636 3621 3646 3619 3625 3633 3707 3603 3661 3643.2 3603 3707
"171" 10 "null" 3460 3369 3311 3346 3300 3315 3366 3428 3402 3347 3364.4 3300 3460
"172" 11 "null" 3119 3016 3007 3030 3004 2880 3032 3124 3074 3066 3035.2 2880 3124
"173" 12 "null" 2726 2649 2546 2603 2428 2272 2684 2690 2643 2682 2592.3 2272 2726
"174" 13 "null" 1973 1859 1603 2001 1051 1584 1957 2044 1944 1887 1790.3 1051 2044
"175" 14 "null" 1125 854 506 567 4 5 1026 689 917 790 648.3 4 1125
"176" 15 "null" 141 3 0 0 0 0 24 4 0 1 17.3 0 141
"177" 0 "nullDamage" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"178" 1 "nullDamage" 4271 4323 4336 4275 4280 4290 4241 4287 4274 4287 4286.4 4241 4336
"179" 2 "nullDamage" 3674 3717 3758 3646 3698 3714 3660 3678 3683 3672 3690 3646 3758
"180" 3 "nullDamage" 3156 3234 3226 3105 3159 3231 3122 3147 3141 3145 3166.6 3105 3234
"181" 4 "nullDamage" 2734 2766 2788 2666 2707 2774 2705 2684 2721 2748 2729.3 2666 2788
"182" 5 "nullDamage" 2336 2417 2410 2322 2311 2392 2335 2345 2332 2340 2354 2311 2417
"183" 6 "nullDamage" 1973 2079 2089 2002 1985 2034 1996 2006 1980 2006 2015 1973 2089
"184" 7 "nullDamage" 1662 1765 1799 1737 1659 1724 1691 1687 1683 1699 1710.6 1659 1799
"185" 8 "nullDamage" 1360 1467 1493 1437 1371 1386 1382 1373 1384 1444 1409.7 1360 1493
"186" 9 "nullDamage" 1009 1100 1174 1094 1101 1040 1060 1040 1070 1127 1081.5 1009 1174
"187" 10 "nullDamage" 570 679 766 643 733 534 648 628 622 572 639.5 534 766
"188" 11 "nullDamage" 57 207 198 130 295 54 132 30 11 154 126.8 11 295
"189" 12 "nullDamage" 0 1 0 0 0 0 0 0 0 0 0.1 0 1
"190" 0 "nullDamageQuality" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"191" 1 "nullDamageQuality" 4092 4032 4089 4026 4012 4076 4072 4090 4136 4121 4074.6 4012 4136
"192" 2 "nullDamageQuality" 3366 3306 3422 3336 3305 3377 3391 3425 3452 3419 3379.9 3305 3452
"193" 3 "nullDamageQuality" 2795 2794 2859 2765 2766 2839 2854 2851 2900 2865 2828.8 2765 2900
"194" 4 "nullDamageQuality" 2376 2365 2402 2337 2340 2430 2395 2353 2442 2395 2383.5 2337 2442
"195" 5 "nullDamageQuality" 1992 1987 2020 1968 1978 2013 1987 1973 2036 2029 1998.3 1968 2036
"196" 6 "nullDamageQuality" 1640 1687 1679 1667 1690 1710 1690 1668 1714 1694 1683.9 1640 1714
"197" 7 "nullDamageQuality" 1387 1421 1454 1385 1399 1432 1403 1409 1448 1405 1414.3 1385 1454
"198" 8 "nullDamageQuality" 1159 1190 1216 1159 1157 1145 1168 1181 1192 1176 1174.3 1145 1216
"199" 9 "nullDamageQuality" 913 967 1007 918 935 958 927 981 978 978 956.2 913 1007
"200" 10 "nullDamageQuality" 654 699 795 679 703 677 668 761 746 757 713.9 654 795
"201" 11 "nullDamageQuality" 25 204 426 48 141 3 2 216 110 491 166.6 2 491
