"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"1889" ".0013475" 9 5 5 ".001" 7
"1890" ".0013475" 0 6 6 ".001" 7
"1947" ".0013484" 1 0 0 ".001" 7
"1948" ".0013484" 4 1 1 ".001" 7
"1949" ".0013484" 7 2 2 ".001" 7
"1950" ".0013484" 2 3 3 ".001" 7
"1951" ".0013484" 1 4 4 ".001" 7
"1952" ".0013484" 8 5 5 ".001" 7
"1953" ".0013484" 3 6 6 ".001" 7
"2008" ".0013492" 3 0 0 ".001" 8
"2009" ".0013492" 2 1 1 ".001" 8
"2010" ".0013492" 0 2 2 ".001" 8
"2011" ".0013492" 2 3 3 ".001" 8
"2012" ".0013492" 8 4 4 ".001" 8
"2013" ".0013492" 5 5 5 ".001" 8
"2014" ".0013492" 6 6 6 ".001" 8
"2015" ".0013492" 20 7 7 ".001" 8
"2104" ".0013504" 1 0 0 ".001" 8
"2105" ".0013504" 2 1 1 ".001" 8
"2106" ".0013504" 4 2 2 ".001" 8
"2107" ".0013504" 8 3 3 ".001" 8
"2108" ".0013504" 1 4 4 ".001" 8
"2109" ".0013504" 5 5 5 ".001" 8
"2110" ".0013504" 6 6 6 ".001" 8
"2111" ".0013504" 19 7 7 ".001" 8
"2112" ".0013505" 6 0 0 ".001" 8
"2113" ".0013505" 3 1 1 ".001" 8
"2114" ".0013505" 4 2 2 ".001" 8
"2115" ".0013505" 2 3 3 ".001" 8
"2116" ".0013505" 8 4 4 ".001" 8
"2117" ".0013505" 0 5 5 ".001" 8
"2118" ".0013505" 10 6 6 ".001" 8
"2119" ".0013505" 1 7 7 ".001" 8
"2120" ".0013506" 0 0 0 ".001" 8
"2121" ".0013506" 0 1 1 ".001" 8
"2122" ".0013506" 0 2 2 ".001" 8
"2123" ".0013506" 2 3 3 ".001" 8
"2124" ".0013506" 2 4 4 ".001" 8
"2125" ".0013506" 6 5 5 ".001" 8
"2126" ".0013506" 6 6 6 ".001" 8
"2127" ".0013506" 20 7 7 ".001" 8
"2200" ".0013516" 2 0 0 ".001" 8
"2201" ".0013516" 0 1 1 ".001" 8
"2202" ".0013516" 6 2 2 ".001" 8
"2203" ".0013516" 17 3 3 ".001" 8
"2204" ".0013516" 1 4 4 ".001" 8
"2205" ".0013516" 3 5 5 ".001" 8
"2206" ".0013516" 6 6 6 ".001" 8
"2207" ".0013516" 1 7 7 ".001" 8
"2224" ".0013519" 2 0 0 ".001" 8
"2225" ".0013519" 10 1 1 ".001" 8
"2226" ".0013519" 24 2 2 ".001" 8
"2227" ".0013519" 13 3 3 ".001" 8
"2228" ".0013519" 2 4 4 ".001" 8
"2229" ".0013519" 0 5 5 ".001" 8
"2230" ".0013519" 2 6 6 ".001" 8
"2231" ".0013519" 7 7 7 ".001" 8
"2312" ".0013530" 32 0 0 ".001" 8
"2313" ".0013530" 5 1 1 ".001" 8
"2314" ".0013530" 0 2 2 ".001" 8
"2315" ".0013530" 18 3 3 ".001" 8
"2316" ".0013530" 1 4 4 ".001" 8
"2317" ".0013530" 1 5 5 ".001" 8
"2318" ".0013530" 4 6 6 ".001" 8
"2319" ".0013530" 11 7 7 ".001" 8
"2360" ".0013536" 2 0 0 ".001" 8
"2361" ".0013536" 5 1 1 ".001" 8
"2362" ".0013536" 3 2 2 ".001" 8
"2363" ".0013536" 13 3 3 ".001" 8
"2364" ".0013536" 1 4 4 ".001" 8
"2365" ".0013536" 4 5 5 ".001" 8
"2366" ".0013536" 0 6 6 ".001" 8
"2367" ".0013536" 1 7 7 ".001" 8
"2424" ".0013544" 4 0 0 ".001" 8
"2425" ".0013544" 19 1 1 ".001" 8
"2426" ".0013544" 2 2 2 ".001" 8
"2427" ".0013544" 0 3 3 ".001" 8
"2428" ".0013544" 2 4 4 ".001" 8
"2429" ".0013544" 5 5 5 ".001" 8
"2430" ".0013544" 6 6 6 ".001" 8
"2431" ".0013544" 1 7 7 ".001" 8
"2432" ".0013545" 4 0 0 ".001" 8
"2433" ".0013545" 5 1 1 ".001" 8
"2434" ".0013545" 10 2 2 ".001" 8
"2435" ".0013545" 2 3 3 ".001" 8
"2436" ".0013545" 1 4 4 ".001" 8
"2437" ".0013545" 1 5 5 ".001" 8
"2438" ".0013545" 1 6 6 ".001" 8
"2439" ".0013545" 6 7 7 ".001" 8
"2552" ".0013560" 0 0 0 ".001" 8
"2553" ".0013560" 0 1 1 ".001" 8
"2554" ".0013560" 0 2 2 ".001" 8
"2555" ".0013560" 8 3 3 ".001" 8
"2556" ".0013560" 1 4 4 ".001" 8
"2557" ".0013560" 1 5 5 ".001" 8
"2558" ".0013560" 7 6 6 ".001" 8
"2559" ".0013560" 3 7 7 ".001" 8
"2568" ".0013562" 0 0 0 ".001" 8
"2569" ".0013562" 2 1 1 ".001" 8
"2570" ".0013562" 0 2 2 ".001" 8
"2571" ".0013562" 0 3 3 ".001" 8
"2572" ".0013562" 9 4 4 ".001" 8
"2573" ".0013562" 16 5 5 ".001" 8
"2574" ".0013562" 14 6 6 ".001" 8
"2575" ".0013562" 0 7 7 ".001" 8
"2672" ".0013575" 5 0 0 ".001" 8
"2673" ".0013575" 6 1 1 ".001" 8
"2674" ".0013575" 0 2 2 ".001" 8
"2675" ".0013575" 0 3 3 ".001" 8
"2676" ".0013575" 0 4 4 ".001" 8
"2677" ".0013575" 10 5 5 ".001" 8
"2678" ".0013575" 13 6 6 ".001" 8
"2679" ".0013575" 2 7 7 ".001" 8
"2704" ".0013579" 15 0 0 ".001" 8
"2705" ".0013579" 7 1 1 ".001" 8
"2706" ".0013579" 16 2 2 ".001" 8
"2707" ".0013579" 6 3 3 ".001" 8
"2708" ".0013579" 2 4 4 ".001" 8
"2709" ".0013579" 9 5 5 ".001" 8
"2710" ".0013579" 5 6 6 ".001" 8
"2711" ".0013579" 17 7 7 ".001" 8
"2776" ".0013588" 4 0 0 ".001" 8
"2777" ".0013588" 5 1 1 ".001" 8
"2778" ".0013588" 5 2 2 ".001" 8
"2779" ".0013588" 2 3 3 ".001" 8
"2780" ".0013588" 1 4 4 ".001" 8
"2781" ".0013588" 2 5 5 ".001" 8
"2782" ".0013588" 0 6 6 ".001" 8
"2783" ".0013588" 1 7 7 ".001" 8
"2856" ".0013598" 4 0 0 ".001" 8
"2857" ".0013598" 4 1 1 ".001" 8
"2858" ".0013598" 6 2 2 ".001" 8
"2859" ".0013598" 0 3 3 ".001" 8
"2860" ".0013598" 5 4 4 ".001" 8
"2861" ".0013598" 3 5 5 ".001" 8
"2862" ".0013598" 6 6 6 ".001" 8
"2863" ".0013598" 25 7 7 ".001" 8
"2880" ".0013601" 4 0 0 ".001" 8
"2881" ".0013601" 0 1 1 ".001" 8
"2882" ".0013601" 5 2 2 ".001" 8
"2883" ".0013601" 4 3 3 ".001" 8
"2884" ".0013601" 21 4 4 ".001" 8
"2885" ".0013601" 0 5 5 ".001" 8
"2886" ".0013601" 0 6 6 ".001" 8
"2887" ".0013601" 8 7 7 ".001" 8
"2976" ".0013613" 4 0 0 ".001" 8
"2977" ".0013613" 8 1 1 ".001" 8
"2978" ".0013613" 6 2 2 ".001" 8
"2979" ".0013613" 4 3 3 ".001" 8
"2980" ".0013613" 3 4 4 ".001" 8
"2981" ".0013613" 5 5 5 ".001" 8
"2982" ".0013613" 6 6 6 ".001" 8
"2983" ".0013613" 2 7 7 ".001" 8
"3056" ".0013623" 10 0 0 ".001" 8
"3057" ".0013623" 0 1 1 ".001" 8
"3058" ".0013623" 3 2 2 ".001" 8
"3059" ".0013623" 1 3 3 ".001" 8
"3060" ".0013623" 0 4 4 ".001" 8
"3061" ".0013623" 15 5 5 ".001" 8
"3062" ".0013623" 0 6 6 ".001" 8
"3063" ".0013623" 0 7 7 ".001" 8
"3176" ".0013638" 3 0 0 ".001" 8
"3177" ".0013638" 24 1 1 ".001" 8
"3178" ".0013638" 15 2 2 ".001" 8
"3179" ".0013638" 8 3 3 ".001" 8
"3180" ".0013638" 1 4 4 ".001" 8
"3181" ".0013638" 3 5 5 ".001" 8
"3182" ".0013638" 7 6 6 ".001" 8
"3183" ".0013638" 7 7 7 ".001" 8
"3240" ".0013646" 0 0 0 ".001" 8
"3241" ".0013646" 3 1 1 ".001" 8
"3242" ".0013646" 0 2 2 ".001" 8
"3243" ".0013646" 2 3 3 ".001" 8
"3244" ".0013646" 11 4 4 ".001" 8
"3245" ".0013646" 6 5 5 ".001" 8
"3246" ".0013646" 5 6 6 ".001" 8
"3247" ".0013646" 5 7 7 ".001" 8
"3256" ".0013648" 8 0 0 ".001" 8
"3257" ".0013648" 34 1 1 ".001" 8
"3258" ".0013648" 5 2 2 ".001" 8
"3259" ".0013648" 4 3 3 ".001" 8
"3260" ".0013648" 3 4 4 ".001" 8
"3261" ".0013648" 5 5 5 ".001" 8
"3262" ".0013648" 3 6 6 ".001" 8
"3263" ".0013648" 3 7 7 ".001" 8
"3272" ".0013650" 3 0 0 ".001" 8
"3273" ".0013650" 14 1 1 ".001" 8
"3274" ".0013650" 0 2 2 ".001" 8
"3275" ".0013650" 9 3 3 ".001" 8
"3276" ".0013650" 2 4 4 ".001" 8
"3277" ".0013650" 0 5 5 ".001" 8
"3278" ".0013650" 7 6 6 ".001" 8
